"country";"energyCarrierParameterScenario";"period";"value";"paperScen";"energyCarrier";"parameter";"unit"
"NL";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"PROG";2040;0,131;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"PROG";2040;0,186;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"PROG";2045;0,142;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"PROG";2045;0,156;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"PROG";2050;0,151;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"PROG";2050;0,127;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"FR";"PROG";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"DE";"BAU";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"DE";"PROG";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"ES";"BAU";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"ES";"PROG";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"IT";"BAU";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"IT";"PROG";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"NL";"BAU";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
"NL";"PROG";2030;0,063;"Removed policies";"Diesel fossil";"Wholesale";"EUR/kWh"
