"category";"subCategory";"country";"parameter";"truckClass";"truckTechnology";"vehicleParameterScenario";"unit";"period";"value";"paperScen"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Tractor-trailer";"BET small battery";"HC_LTM";"kWh/100km";2030;115;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"ICET";"LC_HTM";"kWh/100km";2030;238,5;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"ICET";"MC_MTM";"kWh/100km";2030;248,85;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"ICET";"HC_LTM";"kWh/100km";2030;259,2;"Current policies"
